period,transactions,days,fraud_rate_pct,alerts,alerts_per_day,precision,recall,psi_score,psi_score_tail,missing_rate_pct,psi_log_amt,psi_hour,psi_amt_to_cust_avg
2020-08-24/2020-08-30,15564,6,0.5011565150346955,123,20.5,0.6260162601626016,0.9871794871794872,0.0012093620974960063,0.0006172998970881087,0.0,0.000702811039553125,0.0007084666102601606,0.0002506634045490202
2020-08-31/2020-09-06,17681,7,0.48639782817713934,140,20.0,0.6142857142857143,1.0,0.0015985825208501114,0.0008319636748507535,0.016967366099202533,0.0004236874346166868,0.0010615948968275997,0.0007985374723873712
2020-09-07/2020-09-13,16268,7,0.4425866732235063,107,15.285714285714286,0.6635514018691588,0.9861111111111112,0.010305055318632224,0.001797521588852444,0.0,0.000590170603020814,0.0005549547379081447,0.0007143890285426939
2020-09-14/2020-09-20,16008,7,0.33108445777111445,92,13.142857142857142,0.5434782608695652,0.9433962264150944,0.012248671123681653,0.003411051140212332,0.0,0.0004428972481183411,0.0013078493289417224,0.0002278474297749835
2020-09-21/2020-09-27,15922,7,0.6469036553196835,133,19.0,0.7293233082706767,0.941747572815534,0.012637911009944476,0.0037582985994842003,0.012561236025624922,0.0005733490856814657,0.0007273157391597311,0.0004587557800497237
2020-09-28/2020-10-04,16018,7,0.5993257585216631,132,18.857142857142858,0.7121212121212122,0.9791666666666666,0.022124475566143234,0.005375624288466469,0.01248595330253465,0.00031401688299234913,0.0004752789232899823,0.0007161412940690034
2020-10-05/2020-10-11,15928,7,0.6278252134605725,137,19.571428571428573,0.7007299270072993,0.96,0.01645433924393781,0.002285573051197544,0.0,0.0003452971180428579,0.0005971790328143573,0.0005612482673545027
2020-10-12/2020-10-18,15972,7,0.7262709742048585,151,21.571428571428573,0.7549668874172185,0.9827586206896551,0.01730260720288019,0.002504454321371212,0.0,0.0005475114622086803,0.0006378342576914231,0.0007848752271820552
2020-10-19/2020-10-25,15888,7,0.40911379657603225,104,14.857142857142858,0.625,1.0,0.0057283517230362485,0.001045069220792256,0.012588116817724069,0.0005308784606518596,0.0003860768503325386,0.00044584244116513774
2020-10-26/2020-11-01,15993,7,0.3313949853060714,103,14.714285714285714,0.49514563106796117,0.9622641509433962,0.00924496833542293,0.0022564491035063513,0.006252735571812669,0.0005314602396500212,0.001036914213445319,0.0006430746268527249
2020-11-02/2020-11-08,15867,7,0.45377197958026094,108,15.428571428571429,0.6203703703703703,0.9305555555555556,0.014198122573620471,0.0013686772603636024,0.0,0.00023440547646709378,0.00039367971053797917,0.0005167452891190995
2020-11-09/2020-11-15,16102,7,0.34778288411377467,92,13.142857142857142,0.6086956521739131,1.0,0.013273192849020538,0.0033934514126518086,0.0,0.0003694420158992322,0.0005572599686990646,0.0007840753155059539
2020-11-16/2020-11-22,15754,7,0.38720324996826205,95,13.571428571428571,0.6421052631578947,1.0,0.014898645200396401,0.0035210335179024495,0.0,0.000427218536936772,0.0006160186564763237,0.0002266413294989674
2020-11-23/2020-11-29,15666,7,0.5681092812460105,134,19.142857142857142,0.6492537313432836,0.9775280898876404,0.01195836508319633,0.0028669291498753936,0.0,0.0005591499118144425,0.0008321280451951401,0.0008214388959957021
2020-11-30/2020-12-06,31856,7,0.22287795077850325,141,20.142857142857142,0.48936170212765956,0.971830985915493,0.04183171098554065,0.005919449664154872,0.0031391260673028633,0.00039748796257481334,0.00015141497011044006,0.0003600233036101737
2020-12-07/2020-12-13,31929,7,0.33511854427009924,172,24.571428571428573,0.5988372093023255,0.9626168224299065,0.052222226990066276,0.007149451245659475,0.0,0.00018674804862651312,0.00029728654371388713,0.00035689610203983887
2020-12-14/2020-12-20,31858,7,0.19775252683784292,146,20.857142857142858,0.4246575342465753,0.9841269841269841,0.052823217844961065,0.007951670879526767,0.0,7.919770068810271e-05,0.00020996670475437448,0.0002700091473123457
2020-12-21/2020-12-27,31504,7,0.053961401726764856,77,11.0,0.22077922077922077,1.0,0.06735910993293905,0.01666825327992689,0.003174200101574403,0.0004924485747887109,0.00040673329920526885,0.00033396206051501345
2020-12-28/2021-01-03,18921,4,0.0,45,11.25,0.0,,0.07295721971300972,0.02673163657813626,0.0,0.00047810783363667864,0.0006695923384096534,0.0004844983646333421
