treatment,val_pr_auc,best_iteration,fit_seconds,ci_low,ci_high,diff_vs_best,diff_ci_low,diff_ci_high,within_noise
No weighting,0.9706259740676237,788,96.0,0.9634753076260275,0.977095611722903,0.0045608384021423864,0.0030672222808193705,0.006282997783265515,False
Class weights (scale_pos_weight),0.9685405545957565,1720,201.4,0.9600522569429752,0.9753692007587115,0.006646257874009631,0.004227887541425742,0.008876394680051273,False
Random undersampling 1:10,0.967604353164834,555,35.7,0.9590111933409632,0.9749352403457581,0.0075824593049321765,0.0053302364710223924,0.009660654789087479,False
SMOTE to 1:10,0.9751868124697661,1005,133.4,0.9682407239806633,0.9811086861362698,0.0,0.0,0.0,True
